subject_id,item_id,counterbalance,condition,audience_group,shared.tangram,unique.tangram,response.unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,red,B,A,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,blue,L,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,blue,B,A,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,red,L,A,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,red,B,D,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,red,C,H,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,red,L,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,blue,C,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,blue,B,H,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,red,B,H,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,blue,C,A,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,red,L,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,red,L,H,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,blue,C,H,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,blue,C,H,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,red,B,H,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,blue,L,A,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,red,L,A,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,either refer,blue,C,A,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,red,L,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one social,blue,C,D,shared
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,blue,C,D,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,red,B,H,unique
b96aaedc-7d32-4722-ac69-d59bccf22777,0,a,one refer,blue,L,H,shared
