subject_id,item_id,counterbalance,trial_num,n_blue,n_naive,goal,previous_selection,selected_tangram,selected_tangram_group,written_label
67b8f459f36ac348b98d6cad,0,a,16,4,1,refer,L,H,B,"no arms, no legs with a diamond as head"
67b8f459f36ac348b98d6cad,0,a,17,1,4,refer,H,I,C,"Like a karate posture, one leg fully on ground and the other lifted backwards."
67b8f459f36ac348b98d6cad,0,a,18,0,8,refer,I,K,C,"Kneeling and arms forward posture, two diamonds directly on top"
67b8f459f36ac348b98d6cad,0,a,19,2,2,refer,K,E,B,Like a windmill as hat or shapes on the peak of a hill
67b8f459f36ac348b98d6cad,0,a,20,3,8,social,E,C,A,Italian guy with open arms
67b8f459f36ac348b98d6cad,0,a,21,1,4,social,C,H,B,The lonely guy with no arms and no legs
67b8f459f36ac348b98d6cad,0,a,22,3,1,refer,H,B,A,"A rock with two triangles hanging on either side, and a square on top"
67b8f459f36ac348b98d6cad,0,a,23,2,0,social,B,D,A,The priest guy with a book forward
67b8f459f36ac348b98d6cad,0,a,24,4,2,refer,D,G,B,Square shape slightly hanging/falling off a body with arms facing downward and upward.
67b8f459f36ac348b98d6cad,0,a,25,1,1,social,G,E,B,The funny hat guy
67b8f459f36ac348b98d6cad,0,a,26,3,4,refer,E,J,C,Diamond head on a cube
67b8f459f36ac348b98d6cad,0,a,27,0,1,refer,J,I,C,"Karate posture, with two triangles forward and a square/diamond on top"
67b8f459f36ac348b98d6cad,0,a,28,1,0,refer,I,L,C,half-bent knee with arms forward
67b8f459f36ac348b98d6cad,0,a,29,1,16,social,L,C,A,Italian guy with lifted arms
67b8f459f36ac348b98d6cad,0,a,30,4,4,refer,C,G,B,diamond slightly falling off with a triangle facing downwards and the other triangle upwards
67b8f459f36ac348b98d6cad,0,a,31,4,0,refer,G,E,B,The one with the funny hat thing
67b8f459f36ac348b98d6cad,0,a,32,2,8,refer,E,F,B,like a person sitting with knees half bent
67b8f459f36ac348b98d6cad,0,a,33,3,4,social,F,C,A,code name is Italian guy with lifted arms
67b8f459f36ac348b98d6cad,0,a,34,3,16,refer,C,G,B,Diamond shape slightly falling off with two arms forward and apart
67b8f459f36ac348b98d6cad,0,a,35,4,0,social,G,B,A,Mouse head with two ears
67b8f459f36ac348b98d6cad,0,a,36,0,4,refer,B,D,A,"someone holding a book with the head facing the opposite way, a priest guy"
67b8f459f36ac348b98d6cad,0,a,37,3,2,social,D,F,B,The sitting sad boy
67b8f459f36ac348b98d6cad,0,a,38,1,16,refer,F,I,C,"Karate posture, triangles facing forwards and leg backwards"
67b8f459f36ac348b98d6cad,0,a,39,3,1,social,I,E,B,Funny hat guy
67b8f459f36ac348b98d6cad,0,a,40,2,4,refer,E,L,C,Knees slightly bent with arms forward and diamond as head
67b8f459f36ac348b98d6cad,0,a,41,4,1,social,L,C,A,Italian guy with lifted arms
67b8f459f36ac348b98d6cad,0,a,42,3,8,refer,C,H,B,"No arms or legs,"
67b8f459f36ac348b98d6cad,0,a,43,4,2,social,H,D,A,The priest with very long sleeves
