subject_id,item_id,counterbalance,n_ingroup,n_outgroup,goal,tangram,response.earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,16,refer,C,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,1,refer,L,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,8,social,A,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,8,refer,A,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,16,refer,B,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,8,refer,L,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,0,social,A,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,16,social,A,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,2,refer,L,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,1,refer,C,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,1,refer,B,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,2,social,L,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,0,refer,D,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,4,refer,A,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,4,social,A,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,0,8,refer,B,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,2,social,B,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,16,refer,D,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,8,social,L,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,4,social,H,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,16,social,C,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,1,social,H,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,0,1,refer,L,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,8,refer,C,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,4,social,L,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,0,social,D,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,2,social,C,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,1,refer,H,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,0,2,refer,D,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,1,social,C,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,0,4,refer,H,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,0,16,refer,H,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,0,social,H,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,0,refer,A,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,16,social,B,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,1,2,refer,C,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,4,refer,H,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,4,refer,B,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,2,refer,D,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,3,2,social,D,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,8,social,C,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,2,16,refer,A,earlier
a5567869-8373-4e03-a923-c176ab0acf08,0,b,4,2,refer,B,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,2,social,A,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,0,2,refer,H,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,16,refer,L,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,8,social,B,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,4,refer,L,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,0,16,refer,H,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,4,social,A,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,16,social,L,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,2,refer,L,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,0,refer,A,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,8,social,A,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,0,8,refer,H,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,1,refer,H,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,4,refer,C,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,8,refer,A,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,0,social,D,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,2,social,B,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,2,refer,L,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,8,refer,L,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,0,4,refer,D,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,2,refer,A,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,1,refer,C,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,8,social,C,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,4,social,L,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,1,social,H,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,16,refer,B,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,1,refer,B,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,0,social,A,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,16,social,H,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,4,refer,A,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,16,social,B,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,1,refer,D,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,0,refer,C,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,4,social,C,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,1,social,D,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,8,refer,C,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,16,refer,H,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,0,social,C,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,2,8,refer,B,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,1,social,B,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,0,1,refer,D,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,16,refer,B,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,1,social,C,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,4,social,A,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,4,refer,A,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,0,refer,D,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,2,refer,B,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,2,social,L,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,0,refer,D,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,16,social,B,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,3,8,social,L,later
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,4,2,social,L,earlier
b73dc09d-3820-4fdd-a3ad-fced31f32b6c,0,b,1,0,social,D,later
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,16,social,A,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,4,social,C,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,0,4,refer,B,later
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,0,social,B,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,8,refer,A,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,2,refer,L,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,8,social,H,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,2,social,C,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,0,refer,A,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,4,4,social,D,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,2,1,social,H,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,1,1,social,B,earlier
09b238cf-5f98-411d-aff0-19df7387ca33,0,b,3,4,social,D,earlier
