subject_id,item_id,counterbalance,condition,goal,audience,audience_group,tangram,shared,response.earlier
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,red,D,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,blue,B,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,blue,D,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,blue,A,shared,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one refer,refer,one,blue,B,unique,later
ca2eb4ec-878d-4768-ab9b-d9bfeebc35a3,0,b,one social,social,one,blue,C,unique,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,red,H,unique,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,red,L,shared,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,blue,D,unique,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,blue,L,shared,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,red,C,shared,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,red,C,shared,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,blue,L,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,blue,A,unique,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,blue,C,shared,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,red,C,shared,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,blue,B,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,blue,H,unique,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,red,D,unique,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,red,A,unique,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,blue,B,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,blue,H,unique,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,blue,L,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one social,social,one,red,D,unique,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,blue,A,unique,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,red,D,unique,earlier
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,one refer,refer,one,blue,C,shared,later
74f56976-b7a9-40db-9370-b89787c88e4d,0,a,either refer,refer,either,red,A,unique,later
